Country,Club,Club_Lower,Club_Url
Deutschland,Bayer Leverkusen,bayer leverkusen,bayer-leverkusen
Deutschland,Bayern München,bayern münchen,bayern-muenchen
Deutschland,Borussia Dortmund,borussia dortmund,borussia-dortmund
Deutschland,Werder Bremen,werder bremen,werder-bremen
Deutschland,Blau-Weiß 90 Berlin,blau-weiß 90 berlin,blau-weiss-90-berlin
Deutschland,FC Schalke 04,fc schalke 04,fc-schalke-04
Deutschland,TSV Havelse,tsv havelse,tsv-havelse
Deutschland,FC Remscheid,fc remscheid,fc-remscheid
Deutschland,FC 08 Homburg,fc 08 homburg,fc-08-homburg
Deutschland,VfB Oldenburg,vfb oldenburg,vfb-oldenburg
Deutschland,VfL Wolfsburg,vfl wolfsburg,vfl-wolfsburg
Deutschland,VfB Leipzig,vfb leipzig,1-fc-lok-leipzig
Deutschland,FC Gütersloh,fc gütersloh,fc-guetersloh
Deutschland,SG Wattenscheid 09,sg wattenscheid 09,sg-wattenscheid-09
Deutschland,TeBe Berlin,tebe berlin,tebe-berlin
Deutschland,SSV Ulm 1846,ssv ulm 1846,ssv-ulm-1846
Deutschland,1. FC Schweinfurt 05,1. fc schweinfurt 05,1-fc-schweinfurt-05
Deutschland,SSV Reutlingen,ssv reutlingen,ssv-reutlingen
Deutschland,Eintracht Trier,eintracht trier,eintracht-trier
Deutschland,Sportfreunde Siegen,sportfreunde siegen,sportfreunde-siegen
Deutschland,Rot-Weiss Essen,rot-weiss essen,rot-weiss-essen
Deutschland,1899 Hoffenheim,1899 hoffenheim,1899-hoffenheim
Deutschland,Bor. Mönchengladbach,bor. mönchengladbach,bor-moenchengladbach
Deutschland,1. FSV Mainz 05,1. fsv mainz 05,1-fsv-mainz-05
Deutschland,FC Augsburg,fc augsburg,fc-augsburg
Deutschland,Eintracht Frankfurt,eintracht frankfurt,eintracht-frankfurt
Deutschland,Hertha BSC,hertha bsc,hertha-bsc
Deutschland,SC Freiburg,sc freiburg,sc-freiburg
Deutschland,1. FC Köln,1. fc köln,1-fc-koeln
Deutschland,VfB Stuttgart,vfb stuttgart,vfb-stuttgart
Deutschland,1. FC Nürnberg,1. fc nürnberg,1-fc-nuernberg
Deutschland,FC St. Pauli,fc st. pauli,fc-st-pauli
Deutschland,Hamburger SV,hamburger sv,hamburger-sv
Deutschland,Hannover 96,hannover 96,hannover-96
Deutschland,SpVgg Greuther Fürth,spvgg greuther fürth,spvgg-greuther-fuerth
Deutschland,VfL Bochum,vfl bochum,vfl-bochum
Deutschland,1. FC Union Berlin,1. fc union berlin,1-fc-union-berlin
Deutschland,Fortuna Düsseldorf,fortuna düsseldorf,fortuna-duesseldorf
Deutschland,Kickers Emden,kickers emden,kickers-emden
Deutschland,Wuppertaler SV,wuppertaler sv,wuppertaler-sv
Deutschland,Rot Weiss Ahlen,rot weiss ahlen,rot-weiss-ahlen
Deutschland,TuS Koblenz,tus koblenz,tus-koblenz
Deutschland,Rot-Weiß Oberhausen,rot-weiß oberhausen,rot-weiss-oberhausen
Deutschland,SV Sandhausen,sv sandhausen,sv-sandhausen
Deutschland,Alemannia Aachen,alemannia aachen,alemannia-aachen
Deutschland,Kickers Offenbach,kickers offenbach,kickers-offenbach
Deutschland,SV Babelsberg 03,sv babelsberg 03,sv-babelsberg-03
Deutschland,1. FC Heidenheim 1846,1. fc heidenheim 1846,1-fc-heidenheim-1846
Deutschland,RB Leipzig,rb leipzig,rb-leipzig
Deutschland,SV 07 Elversberg,sv 07 elversberg,sv-07-elversberg
Deutschland,SV Darmstadt 98,sv darmstadt 98,sv-darmstadt-98
Deutschland,Wacker Burghausen,wacker burghausen,wacker-burghausen
Deutschland,Arminia Bielefeld,arminia bielefeld,arminia-bielefeld
Deutschland,Borussia Dortmund II,borussia dortmund ii,borussia-dortmund-ii
Deutschland,Erzgebirge Aue,erzgebirge aue,erzgebirge-aue
Deutschland,Stuttgarter Kickers,stuttgarter kickers,stuttgarter-kickers
Deutschland,VfB Stuttgart II,vfb stuttgart ii,vfb-stuttgart-ii
Deutschland,1. FSV Mainz 05 II,1. fsv mainz 05 ii,1-fsv-mainz-05-ii
Deutschland,FSV Frankfurt,fsv frankfurt,fsv-frankfurt
Deutschland,Holstein Kiel,holstein kiel,holstein-kiel
Deutschland,Jahn Regensburg,jahn regensburg,jahn-regensburg
Deutschland,Rot-Weiß Erfurt,rot-weiß erfurt,rot-weiss-erfurt
Deutschland,SC Paderborn 07,sc paderborn 07,sc-paderborn-07
Deutschland,Werder Bremen II,werder bremen ii,werder-bremen-ii
Deutschland,Energie Cottbus,energie cottbus,energie-cottbus
Deutschland,Fortuna Köln,fortuna köln,fortuna-koeln
Deutschland,Karlsruher SC,karlsruher sc,karlsruher-sc
Deutschland,Sportfreunde Lotte,sportfreunde lotte,sportfreunde-lotte
Deutschland,VfL Osnabrück,vfl osnabrück,vfl-osnabrueck
Deutschland,VfR Aalen,vfr aalen,vfr-aalen
Deutschland,Chemnitzer FC,chemnitzer fc,chemnitzer-fc
Deutschland,Eintracht Braunschweig,eintracht braunschweig,eintracht-braunschweig
Deutschland,FC Carl Zeiss Jena,fc carl zeiss jena,fc-carl-zeiss-jena
Deutschland,Preußen Münster,preußen münster,preussen-muenster
Deutschland,SG Sonnenhof Großaspach,sg sonnenhof großaspach,sg-sonnenhof-grossaspach
Deutschland,Würzburger Kickers,würzburger kickers,wuerzburger-kickers
Deutschland,1. FC Kaiserslautern,1. fc kaiserslautern,1-fc-kaiserslautern
Deutschland,1. FC Magdeburg,1. fc magdeburg,1-fc-magdeburg
Deutschland,1. FC Saarbrücken,1. fc saarbrücken,1-fc-saarbruecken
Deutschland,Bayern München II,bayern münchen ii,bayern-muenchen-ii
Deutschland,Dynamo Dresden,dynamo dresden,dynamo-dresden
Deutschland,FC Ingolstadt 04,fc ingolstadt 04,fc-ingolstadt-04
Deutschland,FSV Zwickau,fsv zwickau,fsv-zwickau
Deutschland,Hallescher FC,hallescher fc,hallescher-fc
Deutschland,Hansa Rostock,hansa rostock,hansa-rostock
Deutschland,KFC Uerdingen 05,kfc uerdingen 05,kfc-uerdingen-05
Deutschland,MSV Duisburg,msv duisburg,msv-duisburg
Deutschland,SC Verl,sc verl,sc-verl
Deutschland,SpVgg Unterhaching,spvgg unterhaching,spvgg-unterhaching
Deutschland,SV Meppen,sv meppen,sv-meppen
Deutschland,SV Wehen Wiesbaden,sv wehen wiesbaden,sv-wehen-wiesbaden
Deutschland,TSV 1860 München,tsv 1860 münchen,tsv-1860-muenchen
Deutschland,Türkgücü München,türkgücü münchen,tuerkguecue-muenchen
Deutschland,VfB Lübeck,vfb lübeck,vfb-luebeck
Deutschland,Viktoria Köln,viktoria köln,viktoria-koeln
Deutschland,Waldhof Mannheim,waldhof mannheim,waldhof-mannheim
England,Arsenal FC,arsenal fc,arsenal-fc
England,Chelsea FC,chelsea fc,chelsea-fc
England,Everton FC,everton fc,everton-fc
England,Liverpool FC,liverpool fc,liverpool-fc
England,Manchester United,manchester united,manchester-united
England,Tottenham Hotspur,tottenham hotspur,tottenham-hotspur
England,Manchester City,manchester city,manchester-city
England,West Ham United,west ham united,west-ham-united
England,Crystal Palace,crystal palace,crystal-palace
England,Newcastle United,newcastle united,newcastle-united
England,Aston Villa,aston villa,aston-villa
England,Fulham FC,fulham fc,fulham-fc
England,West Bromwich Albion,west bromwich albion,west-bromwich-albion
England,Birmingham City,birmingham city,birmingham-city
England,Derby County,derby county,derby-county
England,Middlesbrough FC,middlesbrough fc,middlesbrough-fc
England,Watford FC,watford fc,watford-fc
England,Burnley FC,burnley fc,burnley-fc
England,Reading FC,reading fc,reading-fc
England,Stoke City,stoke city,stoke-city
England,Queens Park Rangers,queens park rangers,queens-park-rangers
England,Nottingham Forest,nottingham forest,nottingham-forest
England,Leicester City,leicester city,leicester-city
England,Leeds United,leeds united,leeds-united
England,Norwich City,norwich city,norwich-city
England,Southampton FC,southampton fc,southampton-fc
England,Sheffield Wednesday,sheffield wednesday,sheffield-wednesday
England,Wolverhampton Wanderers,wolverhampton wanderers,wolverhampton-wanderers
England,Bristol City,bristol city,bristol-city
England,Preston North End,preston north end,preston-north-end
England,Millwall FC,millwall fc,millwall-fc
England,Sheffield United,sheffield united,sheffield-united
England,Blackburn Rovers,blackburn rovers,blackburn-rovers
England,Barnsley FC,barnsley fc,barnsley-fc
England,Charlton Athletic,charlton athletic,charlton-athletic
England,Ipswich Town,ipswich town,ipswich-town
England,Sunderland AFC,sunderland afc,sunderland-afc
England,Wigan Athletic,wigan athletic,wigan-athletic
England,Brighton & Hove Albion,brighton & hove albion,brighton-hove-albion
England,Cardiff City,cardiff city,cardiff-city
England,Huddersfield Town,huddersfield town,huddersfield-town
England,Hull City,hull city,hull-city
England,Swansea City,swansea city,swansea-city
England,Rushden & Diamonds,rushden & diamonds,rushden-diamonds
England,Boston United,boston united,boston-united
England,Peterborough United,peterborough united,peterborough-united
England,Brentford FC,brentford fc,brentford-fc
England,Chester City,chester city,chester-city
England,AFC Bournemouth,afc bournemouth,afc-bournemouth
England,Darlington FC,darlington fc,darlington-fc
England,Hereford United,hereford united,hereford-united
England,Gillingham FC,gillingham fc,gillingham-fc
England,Rotherham United,rotherham united,rotherham-united
England,Fleetwood Town,fleetwood town,fleetwood-town
England,Rochdale AFC,rochdale afc,rochdale-afc
England,Burton Albion,burton albion,burton-albion
England,Shrewsbury Town,shrewsbury town,shrewsbury-town
England,AFC Wimbledon,afc wimbledon,afc-wimbledon
England,Bristol Rovers,bristol rovers,bristol-rovers
England,Oxford United,oxford united,oxford-united
England,Blackpool FC,blackpool fc,blackpool-fc
England,Doncaster Rovers,doncaster rovers,doncaster-rovers
England,Portsmouth FC,portsmouth fc,portsmouth-fc
England,Accrington Stanley,accrington stanley,accrington-stanley
England,Coventry City,coventry city,coventry-city
England,Luton Town,luton town,luton-town
England,Wycombe Wanderers,wycombe wanderers,wycombe-wanderers
England,Bury FC,bury fc,bury-fc
England,Milton Keynes Dons,milton keynes dons,milton-keynes-dons
England,Crewe Alexandra,crewe alexandra,crewe-alexandra
England,Northampton Town,northampton town,northampton-town
England,Plymouth Argyle,plymouth argyle,plymouth-argyle
England,Swindon Town,swindon town,swindon-town
England,Bolton Wanderers,bolton wanderers,bolton-wanderers
England,Bradford City,bradford city,bradford-city
England,Cambridge United,cambridge united,cambridge-united
England,Carlisle United,carlisle united,carlisle-united
England,Colchester United,colchester united,colchester-united
England,Crawley Town,crawley town,crawley-town
England,Exeter City,exeter city,exeter-city
England,Mansfield Town,mansfield town,mansfield-town
England,Morecambe FC,morecambe fc,morecambe-fc
England,Newport County,newport county,newport-county
England,Oldham Athletic,oldham athletic,oldham-athletic
England,Port Vale FC,port vale fc,port-vale-fc
England,Scunthorpe United,scunthorpe united,scunthorpe-united
England,Southend United,southend united,southend-united
England,Stevenage FC,stevenage fc,stevenage-fc
England,Walsall FC,walsall fc,walsall-fc
England,Cheltenham Town,cheltenham town,cheltenham-town
England,Grimsby Town,grimsby town,grimsby-town
England,Kidderminster Harriers,kidderminster harriers,kidderminster-harriers
England,Welling United FC,welling united fc,welling-united-fc
England,Forest Green Rovers,forest green rovers,forest-green-rovers
England,Lincoln City,lincoln city,lincoln-city
England,North Ferriby United,north ferriby united,north-ferriby-united
England,Southport FC,southport fc,southport-fc
England,York City,york city,york-city
England,Chester FC,chester fc,chester-fc
England,Guiseley AFC,guiseley afc,guiseley-afc
England,Macclesfield Town,macclesfield town,macclesfield-town
England,Tranmere Rovers,tranmere rovers,tranmere-rovers
England,Braintree Town,braintree town,braintree-town
England,Gateshead FC,gateshead fc,gateshead-fc
England,Havant & Waterlooville,havant & waterlooville,havant-waterlooville
England,Leyton Orient,leyton orient,leyton-orient
England,Maidstone United,maidstone united,maidstone-united
England,Salford City,salford city,salford-city
England,AFC Fylde,afc fylde,afc-fylde
England,Barrow AFC,barrow afc,barrow-afc
England,Chorley FC,chorley fc,chorley-fc
England,Ebbsfleet United,ebbsfleet united,ebbsfleet-united
England,Harrogate Town,harrogate town,harrogate-town
England,Aldershot Town,aldershot town,aldershot-town
England,Altrincham FC,altrincham fc,altrincham-fc
England,Barnet FC,barnet fc,barnet-fc
England,Boreham Wood,boreham wood,boreham-wood
England,Bromley FC,bromley fc,bromley-fc
England,Chesterfield FC,chesterfield fc,chesterfield-fc
England,Dagenham & Redbridge,dagenham & redbridge,dagenham-redbridge
England,Dover Athletic,dover athletic,dover-athletic
England,Eastleigh FC,eastleigh fc,eastleigh-fc
England,Halifax Town,halifax town,halifax-town
England,Hartlepool United,hartlepool united,hartlepool-united
England,King's Lynn,king's lynn,kings-lynn
England,Maidenhead United,maidenhead united,maidenhead-united
England,Notts County,notts county,notts-county
England,Solihull Moors,solihull moors,solihull-moors
England,Stockport County,stockport county,stockport-county
England,Sutton United,sutton united,sutton-united
England,Torquay United,torquay united,torquay-united
England,Wealdstone FC,wealdstone fc,wealdstone-fc
England,Weymouth FC,weymouth fc,weymouth-fc
England,Woking FC,woking fc,woking-fc
England,Wrexham AFC,wrexham afc,wrexham-afc
England,Yeovil Town,yeovil town,yeovil-town
Italien,AC Milan,ac milan,ac-milan
Italien,AS Roma,as roma,as-roma
Italien,Inter,inter,inter
Italien,Lazio Roma,lazio roma,lazio-roma
Italien,Acireale,acireale,acireale
Italien,Udinese Calcio,udinese calcio,udinese-calcio
Italien,Castel di Sangro,castel di sangro,castel-di-sangro
Italien,AS Fidelis Andria,as fidelis andria,fidelis-andria
Italien,Lucchese,lucchese,lucchese
Italien,AC Savoia 1908,ac savoia 1908,ac-savoia-1908
Italien,Alzano Virescit,alzano virescit,alzano-virescit
Italien,Fermana FC,fermana fc,fermana-fc
Italien,AC Pistoiese,ac pistoiese,us-pistoiese
Italien,ACF Fiorentina,acf fiorentina,acf-fiorentina
Italien,US Catanzaro,us catanzaro,us-catanzaro
Italien,AC Arezzo,ac arezzo,us-arezzo
Italien,Genoa CFC,genoa cfc,genoa-cfc
Italien,Juventus,juventus,juventus
Italien,SSC Napoli,ssc napoli,ssc-napoli
Italien,FC Messina,fc messina,acr-messina
Italien,Ravenna Calcio,ravenna calcio,ravenna-calcio
